# Topologies for the library: topology_mining_and_Longxing_chip_3
# Author: Hugh Haddox
# Index: topology_mining_and_Longxing_chip_3.index.csv
library,name,topology
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B005C_B_A-34-3pcp60_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_singl_1a3b_00_0509_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs5A0B000C_A_D_B-50-1pcp80_0001,5a0b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A3B000A_B_E_C_D-46-0o40_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_singl_1a4b_00_0373_0001_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_singles3A0B06centroidA_B_C-37-0pcp40_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_006_0151_0001_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0403_0001_0002,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles1A3B02centroidA_D_C_B-38-0o60_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A3B004C_D_E_A_B-54-0p_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_039_0264_0001_0003,1a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-40-411_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_singl_1a4b_02_0150_0001_0001,1a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-35-51_0003,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A3B060A_B_C_D_E-50-4pcp_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_singl_1a3b_09_0224_0001_0002,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles1A2B01centroidA_B_C-30-4pcp_0001,1a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B063C_B_A-36-1p80_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0290_0001_0002,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_059_0125_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B022B_A_D_C-37-0p60_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a3b_114_0024_0001_0003,2a3b
topology_mining_and_Longxing_chip_3,relaxed_singles1A3B13alternateC_D_A_B-38-0pc60_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a3b_062_0042_0001_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_007_0290_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_007_0368_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_039_0040_0001_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_singles2A4B00alternateC_D_A_B-49-3pcp80_0001,2a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-216_0003,1a4b
topology_mining_and_Longxing_chip_3,des_singl_1a2b-Nterm03c-30-B1_0002,1a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B077A_B_C-34-0pcp60_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_singles1A3B00alternateA_B_C_D-36-0pc60_0001,1a3b
topology_mining_and_Longxing_chip_3,des_singl_2a3b-Nterm10c-50-D84_0002,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0169_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles1A3B11centroidD_A_B_C-35-0pc80_0001,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-82_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B022B_A_D_C-35-0p60_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A3B065B_A_C_D_E-46-0p60_0001,2a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a2b-205-33-591_0002,1a2b
topology_mining_and_Longxing_chip_3,relaxed_singles1A4B02centroidC_B_A_D_E-49-0pc60_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_065_0024_0001_0001,2a2b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-35-23_0003,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-027-40-734_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B080D_A_B_C-42-1pc60_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B162D_B_A_C-29-0o40_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs0A6B060B_A_C_F_E_D-51-0o80_0001,0a6b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a2b_058_0079_0001_0002,1a2b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-36-61_0004,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B039E_D_C_B_A-45-3pcp80_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B041C_D_A_B-41-0pc_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B007C_B_A_D-47-1o_0001,1a3b
topology_mining_and_Longxing_chip_3,des_singl_1a3b-Nterm08ca-34-C586_0004,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs4A0B000B_A_C_D-57-0pc60_0001,4h
topology_mining_and_Longxing_chip_3,des__f_singl_2a3b_07_0461_0001_0003,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_218_0199_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles3A0B00centroidA_B-35-1o40_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_singles2A4B00alternateC_D_A_B-47-1pc60_0001,2a4b
topology_mining_and_Longxing_chip_3,des__f_singl_4A0B_00_0390_0001_0003,4h
topology_mining_and_Longxing_chip_3,des__f_singl_1a4b_00_0046_0001_0002,1a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-40-179_0002,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B042B_C_D_A-37-0o40_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_singl_1a3b_00_0380_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A2B022A_B_C-28-4pcp40_0001,1a2b
topology_mining_and_Longxing_chip_3,des_pairs_2a2b-024-45-b28_0004,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_1a3b_02_0191_0001_0002,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles1A4B03alternateD_B_A_E_C-51-1pc_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_singl_4A0B_00_0065_0001_0001,4h
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B029C_A_B-36-2pcp40_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_007_0412_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles0A6B00centroidA_B_E_D_C-51-3o40_0001,0a6b
topology_mining_and_Longxing_chip_3,des__f_singl_1a3b_02_0231_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B184A_C_B-35-1p_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A2B003A_B_C-28-1o40_0001,1a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0027_0001_0003,HHH
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-033-32-b776_0002,HHH
topology_mining_and_Longxing_chip_3,relaxed_singles1A3B04centroidB_C_A-39-2o_0001,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-384_0004,1a4b
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm03c-40-C1578_0005,2a2b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-148_0004,1a4b
topology_mining_and_Longxing_chip_3,des__f_singl_1a4b_00_0001_0001_0003,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0493_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_039_0175_0001_0003,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B029C_A_B-30-0pc40_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_045_0179_0001_0002,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0327_0001_0003,HHH
topology_mining_and_Longxing_chip_3,relaxed_singles1A3B02centroidC_B_A_D-36-0o80_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_singl_2a2b_05_0200_0001_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_singles1A4B02centroidA_B_C_D_E-52-4pc_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_065_0132_0001_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs5A0B000C_A_D_B-48-0o60_0001,5a0b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_033_0024_0001_0003,HHH
topology_mining_and_Longxing_chip_3,relaxed_singles3A1B00alternateD_C_B_A-46-0p80_0001,3a1b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-23_0003,1a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-368_0002,1a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-267-35-606_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0139_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B031A_B_C-36-4pc80_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B007A_B_C-37-2pcp80_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_039_0047_0001_0002,1a4b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-267-35-695_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles2A2B05alternateA_B_C_D-57-3p60_0001,2a2b
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-027-40-712_0005,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B000E_B_C_A_D-45-2o_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_singles4A0B00centroidB_C_A-52-0p80_0001,4h
topology_mining_and_Longxing_chip_3,des__f_singl_3a0b_05_0021_0001_0002,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0279_0001_0003,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B087A_C_D_E_B-45-4pc60_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B044A_C_B-38-1pc_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_singles1A4B04alternateB_A_E_D_C-45-0p80_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0300_0001_0003,HHH
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-027-40-b731_0003,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B044A_C_B-38-1o80_0001,HHH
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-027-40-b727_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_singles2A3B00centroidD_A_B_C_E-50-3p40_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0343_0001_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a2b_058_0067_0001_0002,1a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0405_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B039E_D_C_B_A-42-0pcp60_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B063A_B_C-38-3o80_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_singl_2a3b_03_0444_0001_0003,2a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B150C_A_D_B-38-0pcp80_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_055_0362_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles1A4B04centroidB_A_E_D_C-45-0pc_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B049B_D_A_C-37-3pc60_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_042_0490_0001_0002,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B080D_A_B_C-45-2pc60_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A3B000A_B_E_C_D-45-0pc60_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_063_0006_0001_0002,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs5A0B000C_A_D_B-49-0o40_0001,5a0b
topology_mining_and_Longxing_chip_3,des_pairs_1a2b-058-33-b507_0003,1a2b
topology_mining_and_Longxing_chip_3,relaxed_singles2A3B10alternateA_B_C_D_E-54-0o80_0001,2a3b
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm03c-39-C1568_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_059_0356_0001_0002,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_3a0b_07_0100_0001_0003,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B033C_B_A-35-1pc80_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B055A_B_D_C-41-2p60_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B037B_C_A-39-0pc60_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B035B_C_A_D-37-0p40_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_2a3b_01_0415_0001_0002,2a3b
topology_mining_and_Longxing_chip_3,relaxed_singles1A2B02centroidA_B_C-30-0o40_0001,1a2b
topology_mining_and_Longxing_chip_3,relaxed_singles2A3B00centroidD_A_B_C_E-50-2pcp_0001,2a3b
topology_mining_and_Longxing_chip_3,relaxed_singles2A3B13alternateA_B_E_C_D-57-2pc80_0001,2a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B031E_C_A_B_D-46-2o80_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_singles2A2B00alternateB_A-35-0pcp_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_065_0146_0001_0002,2a2b
topology_mining_and_Longxing_chip_3,relaxed_singles3A0B09centroidA_B-34-0o40_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_singl_2a3b_10_0167_0001_0003,2a3b
topology_mining_and_Longxing_chip_3,des__f_singl_2a3b_01_0273_0001_0002,2a3b
topology_mining_and_Longxing_chip_3,des__f_singl_3a0b_07_0368_0001_0003,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0275_0001_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A2B003A_B_C-28-1pcp_0001,1a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B112B_A_C_D-33-2o_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A4B006E_D_A_B_C-44-0o_0001,1a4b
topology_mining_and_Longxing_chip_3,des_singl_1a4b-Nterm00c-44-D8_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a3b_149_0251_0001_0001,2a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B008C_B_A-29-3p80_0001,HHH
topology_mining_and_Longxing_chip_3,des_pairs_2a2b-024-45-b3_0005,2a2b
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-120-32-805_0002,HHH
topology_mining_and_Longxing_chip_3,des_singl_2a3b-Nterm10c-51-D124_0001,2a3b
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm01c-36-C976_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_1a3b_05_0356_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a2b-058-32-503_0005,1a2b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-267-35-263_0002,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B063B_A_D_C-40-0o80_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A3B067A_B_C_E_D-53-0pcp60_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_063_0011_0001_0001,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_055_0280_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-027-40-b725_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_039_0455_0001_0002,1a4b
topology_mining_and_Longxing_chip_3,des_singl_1a3b-Nterm04ca-40-C351_0002,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B004C_A_B-30-4o_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_112_0241_0001_0003,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-40-60_0003,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_041_0003_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_063_0322_0001_0002,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_3a0b_027_0079_0001_0003,HHH
topology_mining_and_Longxing_chip_3,des__f_singl_0a6b_01_0092_0001_0003,0a6b
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B128B_A_C_D-45-2pcp60_0001,1a3b
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm02c-38-C1348_0003,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B027A_B_C-43-0pcp_0001,HHH
topology_mining_and_Longxing_chip_3,des_singl_1a3b-Nterm01ca-31-C243_0004,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-36-49_0003,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs0A7B003E_G_B_A_C_D_F-58-4p60_0001,0a7b
topology_mining_and_Longxing_chip_3,des_singl_1a3b-Nterm08ca-34-C579_0004,1a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_040_0284_0001_0001,1a3b
topology_mining_and_Longxing_chip_3,des__f_singl_4A0B_00_0127_0001_0003,4h
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-34-40_0003,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B080D_A_B_C-45-0p_0001,2a2b
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-40-56_0005,1a4b
topology_mining_and_Longxing_chip_3,des__f_singl_1a4b_06_0327_0001_0003,1a4b
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm01c-35-C1073_0002,2a2b
topology_mining_and_Longxing_chip_3,des__f_singl_1a4b_06_0153_0001_0002,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_039_0076_0001_0001,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_041_0452_0001_0003,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_4a0b_030_0433_0001_0001,4h
topology_mining_and_Longxing_chip_3,des_pairs_1a4b-045-41-198_0005,1a4b
topology_mining_and_Longxing_chip_3,des__f_singl_0a6b_01_0133_0001_0003,0a6b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-36-64_0002,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-042-35-100_0002,1a3b
topology_mining_and_Longxing_chip_3,des_pairs_1a3b-267-35-450_0005,1a3b
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B031A_B_C-36-4p60_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs3A0B013B_C_A-31-0pcp40_0001,HHH
topology_mining_and_Longxing_chip_3,des__f_pairs_1a3b_079_0357_0001_0002,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles2A2B01centroidA_B-33-0p80_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_pairs2A2B080D_A_B_C-44-2p40_0001,2a2b
topology_mining_and_Longxing_chip_3,relaxed_singles3A1B00centroidB_A_D_C-42-0o_0001,3a1b
topology_mining_and_Longxing_chip_3,des_pairs_3a0b-008-30-706_0001,HHH
topology_mining_and_Longxing_chip_3,relaxed_pairs1A3B162B_D_C_A-38-2pcp60_0001,1a3b
topology_mining_and_Longxing_chip_3,relaxed_singles2A3B00centroidD_A_B_C_E-55-0pc80_0001,2a3b
topology_mining_and_Longxing_chip_3,des__f_pairs_2a2b_065_0145_0001_0002,2a2b
topology_mining_and_Longxing_chip_3,des_singl_2a3b-Nterm10ca-51-D133_0003,2a3b
topology_mining_and_Longxing_chip_3,des_singl_1a4b-Nterm00c-44-D5_0004,1a4b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_045_0151_0001_0001,1a4b
topology_mining_and_Longxing_chip_3,relaxed_pairs0A6B004C_D_E_F_A_B-53-4o40_0001,0a6b
topology_mining_and_Longxing_chip_3,des_singl_2a2b-Nterm02c-39-C1163_0004,2a2b
topology_mining_and_Longxing_chip_3,des__f_pairs_1a4b_045_0119_0001_0003,1a4b
